#gene	sample1	sample2	sample3	sample7	sample8	sample9
PRAMEF10	204	382	356	136	242	224
PRAMEF7	11527	4777	9826	6034	3177	1679
PRAMEF6	715	1179	1324	941	1144	373
PRAMEF27	9297	4933	15894	1792	4936	13696
PRAMEF25	2006	1784	2250	1051	832	1460
HNRNPCL3	3235	877	4409	1832	3772	1063
HNRNPCL2	896	1638	552	709	540	736
PRAMEF26	4443	2682	5535	2693	5386	5159
HNRNPCL4	1861	2871	1563	2942	1763	734
PRAMEF9	201	747	491	297	273	459
PRAMEF18	4744	2031	3386	1883	5533	1343
PRAMEF5	4646	7155	7560	11816	8965	6224
PRAMEF8	1006	3319	2092	2163	1436	2796
PRAMEF15	864	438	1896	1711	395	1929
PRAMEF14	6561	5683	6578	4214	5012	5953
PRAMEF19	6809	3603	3829	6147	5298	8956
PRAMEF17	4189	7548	4691	4109	2300	2248
PRAMEF20	5443	2198	3089	2933	1622	1991
LRRC38	684	208	1017	534	512	265
PDPN	2006	1795	1175	3887	1336	2125
PRDM2	2139	4146	3504	3126	2039	1115
KAZN	1286	850	1061	1796	3038	555
TMEM51	29	27	31	37	46	33
FHAD1	1771	1422	1607	1071	610	949
EFHD2	9677	5389	10308	14481	1252	3252
CTRC	193	196	130	102	132	183
CELA2A	2022	2165	1945	1833	1168	1343
CELA2B	381	293	334	219	324	463
CASP9	1185	776	2366	1475	730	2933
DNAJC16	2868	1739	4326	2450	3016	1255
AGMAT	17	19	9	11	10	17
DDI2	694	678	839	1195	865	724
RSC1A1	102	107	109	28	61	69
PLEKHM2	2851	2430	7101	1700	1683	3624
SLC25A34	463	355	846	411	431	312
TMEM82	14	22	32	22	16	32
FBLIM1	4603	2235	2216	1776	1183	3072
UQCRHL	317	234	518	163	158	124
SPEN	1257	1596	1897	807	243	1035
ZBTB17	1300	1504	1202	1598	1833	1018
C1orf64	6670	4936	3384	4914	2747	4747
HSPB7	4168	2839	9259	3875	3632	3520
CLCNKA	500	681	245	412	446	1058
CLCNKB	336	226	219	239	246	230
FAM131C	2544	4779	3108	3386	3514	3274
EPHA2	1968	2580	2917	1113	2712	1792
ARHGEF19	1019	2682	1600	1494	2181	1518
RSG1	2699	2863	2318	1823	2747	3988
FBXO42	9	13	10	12	17	27
SZRD1	6016	3848	2841	2501	2772	2374
SPATA21	113	25	75	32	57	69
NECAP2	4621	3332	5490	2139	2246	3253
FAM231B	1562	1864	1496	898	1646	1351
NBPF1	2553	3044	2492	5335	3428	3266
FAM231A	210	146	131	69	127	85
FAM231C	2254	3095	783	2949	2151	1182
CROCC	8892	7648	6896	11903	5143	10508
MFAP2	1874	2565	3128	3215	3494	4336
ATP13A2	43775	19387	14729	13051	23291	11632
SDHB	12448	3286	8417	3679	7954	3475
PADI2	389	546	295	166	158	327
PADI1	5347	6276	9647	3377	3984	5121
PADI3	1764	867	861	2020	2324	784
PADI4	443	440	447	932	289	685
AC004824.1	551	530	306	190	466	316
PADI6	432	472	678	323	508	473
RCC2	643	1100	1282	877	722	1141
ARHGEF10L	2691	2503	2604	993	1358	756
ACTL8	333	444	300	293	149	261
IGSF21	6354	4529	6131	4845	5912	5318
KLHDC7A	1010	1181	541	1099	1376	486
PAX7	2959	1936	475	855	1034	1514
TAS1R2	1220	2480	1615	737	1690	972
RP13-279N23.2	1470	1807	607	940	791	1144
ALDH4A1	2355	2569	3162	3280	1659	2793
IFFO2	17515	11572	22483	9428	10621	16898
UBR4	1709	2223	1133	1036	1017	772
EMC1	3403	4963	2085	1395	1458	1964
MRTO4	402	147	294	299	280	246
AKR7A3	886	1991	1679	1075	2058	2594
AKR7A2	69	173	283	80	133	132
PQLC2	1786	2173	1652	1568	2305	3828
CAPZB	1664	2023	1204	1582	1922	1273
MINOS1	3231	555	1020	1001	1524	1161
MINOS1-NBL1	966	3111	3110	4241	3013	1547
NBL1	215	198	313	399	303	306
HTR6	252	607	713	870	361	293
TMCO4	2676	2718	1206	2192	1261	1444
RNF186	14055	5324	6042	6843	4833	8287
OTUD3	4142	5974	8066	7860	7712	9798
PLA2G2E	6426	11620	13769	6534	11323	10182
PLA2G2A	699	1180	810	1064	1250	771
PLA2G5	361	477	642	386	133	711
PLA2G2D	5466	8785	4870	6736	3692	2768
PLA2G2F	3608	9973	5176	7505	12220	7709
PLA2G2C	5157	4770	4345	4619	4966	3830
UBXN10	303	245	278	136	212	436
VWA5B1	708	698	1273	394	645	267
CAMK2N1	3182	8387	6256	6811	5558	2951
MUL1	2675	3808	2595	2171	3259	2203
FAM43B	370	154	170	172	216	97
CDA	1031	980	1647	1303	662	1490
PINK1	13874	9228	9110	6635	8683	7130
DDOST	456	128	443	199	443	365
KIF17	44	29	41	29	15	22
SH2D5	6288	5132	4116	7560	7059	4962
HP1BP3	439	1471	1910	343	1517	978
EIF4G3	1817	2338	2826	4000	3804	2138
ECE1	1537	3070	1957	1577	1822	976
NBPF3	135	246	142	75	118	129
ALPL	13319	42231	18379	12377	15223	22195
RAP1GAP	1844	1362	1513	2370	3409	1318
USP48	24705	16357	12022	18784	17809	16657
LDLRAD2	1555	1667	3458	1355	2039	1559
HSPG2	10020	9130	4567	6609	5293	3579
CELA3B	3529	8425	6873	2607	4496	2405
CELA3A	76	267	95	104	87	108
CDC42	506	1559	702	669	601	504
WNT4	251	312	140	166	133	209
ZBTB40	1367	599	2225	1289	1083	1994
EPHA8	2971	2597	2392	2523	3829	1825
C1QA	2795	4348	2928	2148	4216	3318
C1QC	2253	1682	3302	1697	706	1684
C1QB	2230	538	1172	544	1276	1809
EPHB2	1433	4941	6102	3815	2680	1463
LACTBL1	2746	2039	1341	1502	2637	3412
C1orf234	974	2179	1162	1253	909	977
KDM1A	374	256	981	168	431	608
LUZP1	7501	5521	14766	11036	6983	2382
HTR1D	2240	4105	4312	2197	3959	1799
HNRNPR	163	200	30	50	67	63
ZNF436	285	573	600	569	513	742
TCEA3	2378	4799	3069	4789	3613	3784
ASAP3	8021	4432	3519	2216	5036	5065
E2F2	1655	2056	1531	2708	1589	2534
ID3	2175	2527	618	1415	924	832
MDS2	389	373	1003	685	1233	515
RPL11	1675	4148	2241	1980	1337	848
TCEB3	3566	9985	5470	5540	7747	3970
PITHD1	1940	3408	3650	1758	1205	1424
LYPLA2	179	322	97	109	113	32
GALE	2150	3817	1066	1201	2955	1310
HMGCL	6387	7750	2608	4642	7351	5567
FUCA1	617	546	1277	293	594	897
CNR2	1795	610	1049	998	2289	824
PNRC2	6006	17742	2143	7693	3944	7362
SRSF10	962	1132	509	975	771	762
MYOM3	540	834	1322	877	747	887
IL22RA1	11850	2027	2727	3528	4260	3766
IFNLR1	1770	731	1918	812	1427	1509
GRHL3	2722	1934	1651	1312	670	521
STPG1	4073	4670	3091	1351	5994	3731
NIPAL3	6303	2437	2979	6280	1423	2538
RCAN3	182	157	362	611	312	312
NCMAP	1130	2017	1363	1589	1240	2657
SRRM1	6493	3840	4016	2455	896	3038
CLIC4	2247	3918	2507	5505	3703	6547
RUNX3	5044	4610	7009	6927	7534	7988
SYF2	647	556	743	613	996	536
RSRP1	7064	6206	5151	4249	9477	4695
RHD	4	7	49	13	27	16
TMEM50A	132	255	115	71	74	58
RHCE	3060	2281	1824	1937	589	676
TMEM57	2042	1464	2333	1896	2147	2418
LDLRAP1	803	779	864	1083	1738	876
MAN1C1	1162	636	891	1040	741	844
SEPN1	517	614	370	234	268	440
RP1-317E23.6	5286	3866	5842	6949	4911	5167
MTFR1L	570	278	639	348	413	614
AUNIP	1792	2586	1218	1959	1203	3079
PAQR7	7289	3887	2624	2809	1710	4087
STMN1	4043	2122	2557	3179	5446	3357
PAFAH2	560	681	413	668	288	480
EXTL1	742	315	568	774	485	437
SLC30A2	3704	2229	4388	2583	1630	1796
TRIM63	1686	1678	1718	1146	1946	913
PDIK1L	3797	2502	4041	3614	8669	7234
FAM110D	11293	5438	16645	8958	3437	6774
RP11-96L14.8	5996	11159	6118	5922	6349	5423
RP11-96L14.7	4918	3406	4528	8496	6137	5642
ZNF593	13454	3554	6476	5918	14298	6241
CNKSR1	477	431	266	254	311	244
CATSPER4	2075	2292	2375	2492	4107	2711
CEP85	1129	1877	1781	2569	1635	2508
SH3BGRL3	6591	2528	8032	5408	4227	2281
UBXN11	474	144	313	315	172	185
CD52	1658	980	2355	992	1157	1056
AIM1L	7835	11970	14458	8003	6268	3652
ZNF683	781	1543	1369	399	762	1369
LIN28A	1323	929	1989	755	1060	990
DHDDS	5192	5642	3463	4187	3708	5340
HMGN2	2155	667	2077	1031	416	1108
RPS6KA1	3391	1850	1326	2981	1729	1702
ARID1A	1328	1179	1041	470	1775	1158
PIGV	150	110	187	494	461	180
ZDHHC18	2095	4845	5322	3279	2322	3593
SFN	257	324	416	392	337	177
GPN2	6995	6183	2545	3496	4246	2568
GPATCH3	65	110	112	36	130	124
NUDC	1611	717	2553	2005	767	2932
NR0B2	3310	5336	4641	2321	2488	3057
KDF1	531	500	584	124	455	142
TRNP1	1990	953	2195	482	645	1254
FAM46B	585	457	561	574	368	586
AL137860.1	1966	3963	3304	1999	3138	2678
SLC9A1	2867	3808	1788	3228	2508	1194
WDTC1	1095	1088	686	1084	662	625
TMEM222	707	634	862	542	762	445
SYTL1	1904	1870	1378	1153	1567	1959
MAP3K6	4563	2195	1997	1729	1049	3209
FCN3	18663	11878	13228	9155	12428	2717
CD164L2	915	717	507	474	373	432
GPR3	2043	2686	1420	1763	994	1255
WASF2	1075	1732	1252	1088	962	1319
AHDC1	7498	2156	3040	3886	3563	5172
FGR	5295	5262	3961	2564	7374	2383
IFI6	509	191	220	385	365	468
FAM76A	4770	2662	7316	2032	2173	2988
STX12	1581	689	861	1808	1761	596
PPP1R8	349	252	326	262	256	326
AL109927.1	6	26	11	41	22	15
THEMIS2	1371	2886	2207	1403	1089	4234
RPA2	3112	4622	2349	2188	3684	2314
SMPDL3B	0	1	0	1	0	1
XKR8	1197	725	541	1306	915	794
EYA3	909	495	1024	962	567	565
PTAFR	273	254	531	446	247	220
DNAJC8	577	317	306	384	850	450
ATPIF1	2535	4102	3752	1364	2359	3030
SESN2	1750	1092	1633	2297	1152	1430
MED18	2794	1887	1405	1670	1704	2100
PHACTR4	9395	8758	5990	9165	5366	12311
RCC1	804	408	565	379	531	359
TRNAU1AP	2719	2525	3373	3976	2393	2418
TAF12	4185	3758	3969	2010	2276	2398
RAB42	2847	2013	1483	720	1767	1109
GMEB1	657	881	774	457	582	751
YTHDF2	616	1312	1277	1094	720	680
OPRD1	6346	4415	2436	4889	4881	3464
EPB41	3870	1649	1997	1960	2401	1901
TMEM200B	3148	3106	4822	3725	1499	3945
SRSF4	1890	4248	2755	3097	2683	2780
MECR	281	3084	1923	1350	1366	1950
PTPRU	573	907	518	798	457	544
MATN1	271	326	316	334	222	355
LAPTM5	500	285	435	427	267	246
SDC3	14400	28159	13912	6047	10351	28412
PUM1	4561	5410	2018	2758	3296	2892
NKAIN1	463	820	1107	548	947	465
SNRNP40	1417	3530	4970	1939	3146	2311
ZCCHC17	922	477	922	636	816	872
FABP3	2708	1772	2858	2551	4035	2331
SERINC2	5048	2072	4060	2034	1260	3161
TINAGL1	5560	8011	6963	3027	3867	7632
HCRTR1	601	1134	1482	349	399	1045
PEF1	3673	7825	4768	6528	4141	5170
COL16A1	5	10	7	3	5	2
ADGRB2	1281	521	821	545	1326	947
SPOCD1	4893	8733	5324	4066	7797	6149
PTP4A2	4004	2312	2676	2181	3042	1708
KHDRBS1	14371	7691	4738	7267	6220	12255
TMEM39B	2053	1162	1386	2252	2155	1606
KPNA6	2194	876	1764	838	2073	1516
TXLNA	12068	11068	6528	8033	8621	3288
CCDC28B	1988	5987	6432	4393	4272	3588
IQCC	2104	2123	2154	1427	1429	3429
DCDC2B	3011	1942	2142	1931	1304	1245
TMEM234	3557	4264	8236	4366	1732	7867
EIF3I	2437	9677	9031	8054	8490	8272
FAM167B	1617	741	1185	963	1226	1185
LCK	2781	4138	2583	2455	2614	3799
HDAC1	13287	6631	13689	7288	7372	10901
MARCKSL1	4124	5821	3936	5287	3214	2821
TSSK3	1723	2060	956	1826	1660	1680
FAM229A	3517	4797	3807	1873	2915	5908
BSDC1	61	77	85	80	69	48
RP1-27O5.3	2421	3458	3137	2232	3943	5963
ZBTB8B	1498	702	759	1089	430	393
ZBTB8A	4773	1826	3676	2867	2003	3439
ZBTB8OS	431	958	1240	429	1101	520
RBBP4	5400	2363	4134	2986	4867	2819
SYNC	531	1157	1436	529	497	299
KIAA1522	3416	4711	4558	5647	6070	5716
YARS	6592	5343	9094	5164	5979	8440
S100PBP	8332	2688	7241	2153	2049	3683
FNDC5	400	279	483	305	335	136
HPCA	1669	4002	4837	1745	6313	2304
TMEM54	2593	2179	2009	3386	2491	3343
RNF19B	1923	2916	2302	1771	3277	2474
AK2	832	572	198	406	140	446
AZIN2	7766	14086	4039	4486	6102	2325
TRIM62	261	247	109	94	174	96
ZNF362	8545	6359	3504	5871	3465	5995
A3GALT2	1136	634	1981	2094	1381	1660
PHC2	146	91	195	63	153	136
ZSCAN20	9431	4978	12115	6455	6021	11181
CSMD2	866	870	1079	247	495	959
HMGB4	616	424	212	198	336	256
C1orf94	5328	10069	8155	5309	2757	7952
SMIM12	1279	1013	3066	1812	1330	1532
GJB5	1181	829	1459	455	803	589
GJB4	1175	1724	1521	2204	1568	1985
GJB3	28	21	24	23	20	13
GJA4	2723	3228	2881	4799	2509	1670
DLGAP3	1296	1534	1885	2461	934	1155
RP11-244H3.4	1460	389	739	1220	826	413
TMEM35B	3849	1984	2502	2897	3368	1507
ZMYM6	2763	2958	2442	1632	1166	1563
ZMYM1	5097	6353	8184	7150	11037	4273
SFPQ	2187	2868	2387	2631	1661	1288
ZMYM4	4466	1548	3247	1399	1323	2220
KIAA0319L	5362	6237	2836	2142	1380	5501
NCDN	3652	1710	4463	1706	2473	2180
TFAP2E	481	1036	2397	614	1400	1171
PSMB2	604	644	1498	583	1917	1504
C1orf216	257	263	246	169	286	174
CLSPN	2363	2874	879	1788	2032	3077
AGO4	398	267	250	242	235	157
AGO1	43	30	15	27	45	56
AGO3	4732	8630	5261	6134	5591	5872
TEKT2	623	315	363	257	346	216
ADPRHL2	6288	4678	5173	4190	4470	4048
COL8A2	7471	12338	6033	10199	5354	6540
TRAPPC3	1555	722	1445	1172	549	573
MAP7D1	3967	4378	2550	3474	3778	2348
THRAP3	1121	535	443	525	593	452
SH3D21	4051	3401	2605	3170	794	2342
EVA1B	478	2197	1227	1127	677	1266
STK40	918	1100	922	1603	727	947
LSM10	1850	1668	1949	1870	3339	1674
OSCP1	158	57	225	54	58	79
MRPS15	4165	10184	10519	4125	9241	9148
CSF3R	725	944	412	538	295	646
GRIK3	5515	4464	7491	6926	3825	2820
ZC3H12A	7274	3487	6717	7950	9084	6160
MEAF6	405	314	368	230	309	182
SNIP1	362	351	454	391	517	221
DNALI1	49	77	184	100	124	84
GNL2	2091	3993	1850	1779	1315	1699
RSPO1	431	75	297	279	291	624
C1orf109	9561	11672	8952	4641	11371	5817
CDCA8	33	41	22	23	21	25
EPHA10	1034	1734	431	1037	899	1165
MANEAL	664	1557	669	1287	1369	972
YRDC	5338	11954	9137	7451	5715	9329
C1orf122	33805	38574	23196	14143	15145	10638
MTF1	2368	2361	1900	1518	2182	1518
INPP5B	858	2428	1207	681	631	1283
SF3A3	1555	1779	4020	2287	2529	1687
FHL3	177	184	63	44	54	85
UTP11	817	981	848	688	1406	843
POU3F1	993	1042	990	778	1146	737
RRAGC	1273	1181	621	2416	1429	1155
MYCBP	9954	10139	9006	7968	5839	16401
RP5-864K19.6	1989	2552	3309	2085	2418	1789
GJA9	569	481	538	218	625	416
RHBDL2	3190	7304	2774	2182	3881	2928
AKIRIN1	2425	2658	2443	1972	2080	2831
NDUFS5	5391	3558	3724	1856	3161	1306
MACF1	140	89	78	61	73	47
BMP8A	2510	3521	5904	2946	4357	1821
PABPC4	1063	618	230	197	378	283
